TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Balance_Binned,Age_Binned,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,70.0-79.0,1,2,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,60.0-69.0,2,2,0
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,10.0-19.0,0,1,0
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,20.0-29.0,1,1,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,10.0-19.0,0,1,0
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,30.0-39.0,2,0,1
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,60.0-69.0,0,2,0
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,50.0-59.0,1,0,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,50.0-59.0,0,0,0
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,50.0-59.0,1,0,2
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,20.0-29.0,0,1,0
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,20.0-29.0,0,1,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,20.0-29.0,0,1,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,10.0-19.0,0,1,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,30.0-39.0,0,1,2
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,10.0-19.0,0,1,2
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,30.0-39.0,1,0,2
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,50.0-59.0,1,2,2
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,10.0-19.0,1,1,2
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,70.0-79.0,1,2,0
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,30.0-39.0,1,0,0
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,30.0-39.0,1,0,2
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,20.0-29.0,0,1,2
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,20.0-29.0,0,1,1
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,60.0-69.0,0,2,0
246.93,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3499999999999,20.0-29.0,0,1,0
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,30.0-39.0,0,0,0
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,40.0-49.0,0,0,0
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,20.0-29.0,0,1,2
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,50.0-59.0,1,2,0
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,20.0-29.0,1,1,2
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,3.0,9690.15,40.0-49.0,1,0,0
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,20.0-29.0,0,1,0
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,40.0-49.0,2,0,1
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,40.0-49.0,1,0,1
